Vacía, Vacía ,(Octava Sección),,Regla 4,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(Octava Sección),Viernes 23 de diciembre de 2016	DIARIO OFICIAL,Regla 4,DOF_P_IFT_EXT_241116_36_Acc.docx
DOF,Diario Oficial de la Federación,(el “DOF”),1.- El 14 de julio de 2014 se publicó en el Diario Oficial de la Federación,Regla 1,DOF_P_IFT_EXT_241116_36_Acc.docx
LFTyR,Ley Federal de Telecomunicaciones y Radiodifusión,(la “LFTyR”),3.- En concordancia con lo dispuesto en el artículo 51 de la Ley Federal de Telecomunicaciones y Radiodifusión,Regla 1,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(treinta),3.- En concordancia con lo dispuesto en el artículo 51 de la Ley Federal de Telecomunicaciones y Radiodifusión (la “LFTyR”) mediante el Acuerdo P/IFT/120815/306 aprobado en la XVI Sesión Ordinaria celebrada el 12 de agosto de 2015 el Pleno determinó someter a Consulta Pública por un plazo de 30,Regla 4,DOF_P_IFT_EXT_241116_36_Acc.docx
Anteproyecto de Lineamientos,Anteproyecto de LINEAMIENTOS GENERALES DE ACCESIBILIDAD A LOS SERVICIOS DE TELECOMUNICACIONES PARA LOS USUARIOS CON DISCAPACIDAD,(el “Anteproyecto de Lineamientos”),3.- En concordancia con lo dispuesto en el artículo 51 de la Ley Federal de Telecomunicaciones y Radiodifusión (la “LFTyR”) mediante el Acuerdo P/IFT/120815/306 aprobado en la XVI Sesión Ordinaria celebrada el 12 de agosto de 2015 el Pleno determinó someter a Consulta Pública por un plazo de 30 (treinta) días hábiles contados a partir de el día hábil siguiente al de su publicación en el portal de Internet de el Instituto el Anteproyecto de “LINEAMIENTOS GENERALES DE ACCESIBILIDAD A LOS SERVICIOS DE TELECOMUNICACIONES PARA LOS USUARIOS CON DISCAPACIDAD”,Regla 1,DOF_P_IFT_EXT_241116_36_Acc.docx
Instituto,Instituto Federal de Telecomunicaciones,(el “Instituto”),4.- La Consulta Pública se realizó de el día 14 de agosto al 25 de septiembre de el 2015 en el portal electrónico de el Instituto Federal de Telecomunicaciones,Regla 1,DOF_P_IFT_EXT_241116_36_Acc.docx
Constitución,Constitución Política de los Estados Unidos Mexicanos,(la “Constitución”),PRIMERO.- COMPETENCIA DEL INSTITUTO. De conformidad con lo establecido por el párrafo décimo quinto de el artículo 28 de la Constitución Política de los Estados Unidos Mexicanos,Regla 1,DOF_P_IFT_EXT_241116_36_Acc.docx
UIT,Unión Internacional de Telecomunicaciones,(“UIT”),En tanto dicha Organización Mundial estima que el 15% de la población mundial vive con una discapacidad lo que representa alrededor de mil millones de personas en todo el mundo razón por la cual la Unión Internacional de Telecomunicaciones,Regla 2,DOF_P_IFT_EXT_241116_36_Acc.docx
TIC,tecnologías de información y comunicación,(“TIC”),En tanto dicha Organización Mundial estima que el 15% de la población mundial vive con una discapacidad lo que representa alrededor de mil millones de personas en todo el mundo razón por la cual la Unión Internacional de Telecomunicaciones (“UIT”) considera que las tecnologías de información y comunicación,Regla 2,DOF_P_IFT_EXT_241116_36_Acc.docx
